"","county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"163","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Distilled Spirits",22001,1140,0.508071034339422,0.0263261205921068
"164","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Tequila",387144,26184,8.94035055307946,0.604669422441863
"165","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Vodka",1373412,129311,31.7163245040759,2.98619033323326
"166","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Rum",759626,55669,17.5421102464033,1.28556912915964
"167","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Brandy",158610,10723,3.66279472553865,0.247627185183475
"168","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Amaretto",23397,2395,0.540308985520634,0.0553079463316629
"169","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Whisky",1904800,131745,43.987714477057,3.04239891000624
"170","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Misc",488281,31649,11.2759162182759,0.730873149666305
"171","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Schnapps",37613,2697,3.20056160653506,0.229492852280463
"172","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Misc",60994,4073,5.19009530292716,0.346579305650102
"173","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Tequila",27513,1540,2.34113342409803,0.131041524846835
"174","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Vodka",119897,12057,10.2022634445201,1.02595302927161
"175","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Whisky",312013,23201,26.5497787610619,1.97421715452689
"176","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Distilled Spirits",7574,800,0.644486044928523,0.068073519400953
"177","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Gin",18085,1522,1.53888699795779,0.129509870660313
"178","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Rum",106449,7368,9.05794758339006,0.626957113682777
"179","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Amaretto",1932,244,0.164397549353302,0.0207624234172907
"180","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Brandy",20122,1600,1.71221919673247,0.136147038801906
"181","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Tequila",10289,580,0.845856626109832,0.0476816836566919
"182","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Whisky",141705,12347,11.6495396251233,1.01504439329168
"183","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Gin",2857,296,0.234873396908912,0.0243341006247945
"184","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Amaretto",1065,136,0.0875534363696153,0.0111805327195002
"185","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Distilled Spirits",1195,69,0.0982407102926669,0.00567247615915817
"186","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Brandy",12981,1240,1.06716540611641,0.101940151266031
"187","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Schnapps",29407,2512,2.41754357119369,0.206511016113121
"188","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Misc",29044,1704,2.38770141400855,0.140085498191384
"189","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Rum",66965,4660,5.50517921736271,0.383097665241697
"190","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Vodka",65453,7753,5.38087800065768,0.637372574810917
"191","Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Brandy",11978,839,1.29170710665373,0.0904777310471261
