"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"526",50275,NA,576,NA
"527",50277,NA,475,NA
"528",50278,NA,801,NA
"529",50319,NA,0,NA
"530",50420,NA,366,NA
"531",50426,NA,24,NA
"532",50431,NA,205,NA
"533",50432,NA,202,NA
"534",50433,NA,174,NA
"535",50434,NA,389,NA
"536",50439,NA,322,NA
"537",50440,NA,662,NA
"538",50444,NA,373,NA
"539",50446,NA,539,NA
"540",50447,NA,1199,NA
"541",50448,NA,847,NA
"542",50449,NA,698,NA
"543",50451,NA,449,NA
"544",50453,NA,576,NA
"545",50454,NA,68,NA
"546",50455,NA,648,NA
"547",50457,NA,308,NA
"548",50460,NA,383,NA
"549",50464,NA,498,NA
"550",50465,NA,279,NA
"551",50467,NA,73,NA
"552",50468,NA,1481,NA
"553",50470,NA,191,NA
"554",50471,NA,704,NA
"555",50473,NA,254,NA
"556",50476,NA,800,NA
"557",50477,NA,320,NA
"558",50478,NA,867,NA
"559",50479,NA,574,NA
"560",50480,NA,926,NA
"561",50482,NA,871,NA
"562",50484,NA,414,NA
"563",50515,NA,238,NA
"564",50516,NA,602,NA
"565",50518,NA,447,NA
"566",50519,NA,696,NA
"567",50520,NA,80,NA
"568",50521,NA,245,NA
"569",50522,NA,813,NA
"570",50523,NA,779,NA
"571",50524,NA,562,NA
"572",50527,NA,246,NA
"573",50528,NA,329,NA
"574",50531,NA,239,NA
"575",50532,NA,1000,NA
"576",50538,NA,499,NA
"577",50539,NA,623,NA
"578",50544,NA,423,NA
"579",50545,NA,251,NA
"580",50546,NA,293,NA
"581",50551,NA,168,NA
"582",50556,NA,281,NA
"583",50557,NA,785,NA
"584",50558,NA,761,NA
"585",50559,NA,334,NA
"586",50560,NA,563,NA
"587",50561,NA,367,NA
"588",50562,NA,471,NA
"589",50565,NA,479,NA
"590",50566,NA,441,NA
"591",50567,NA,295,NA
"592",50568,NA,1656,NA
"593",50570,NA,199,NA
"594",50571,NA,434,NA
"595",50573,NA,51,NA
"596",50576,NA,360,NA
"597",50577,NA,412,NA
"598",50578,NA,663,NA
"599",50582,NA,242,NA
"600",50586,NA,275,NA
"601",50591,NA,311,NA
"602",50593,NA,77,NA
"603",50594,NA,177,NA
"604",50599,NA,369,NA
"605",50604,NA,1698,NA
"606",50605,NA,157,NA
"607",50607,NA,693,NA
"608",50609,NA,469,NA
"609",50611,NA,433,NA
"610",50612,NA,317,NA
"611",50620,NA,42,NA
"612",50624,NA,1634,NA
"613",50625,NA,1150,NA
"614",50626,NA,1873,NA
"615",50632,NA,977,NA
"616",50633,NA,350,NA
"617",50642,NA,547,NA
